vessel_id,vessel_name,imo,mmsi,vessel_class,dwt,loa_m,beam_m,draft_m,design_speed_knots,fuel_consumption_sea_t_day,fuel_consumption_port_t_day,vessel_age_years,status,current_location,eta_days_to_load_port,daily_hire_rate_usd
VSL_9000137,MV BHARAT NAVIGATOR 1,9000137,419000097,Supramax,62865,198.3,33.1,12.31,13.4,21.9,3.2,14,available,East Coast India,6.6,13603.74
VSL_9000274,MV GLOBAL NAVIGATOR 2,9000274,419000194,Capesize,254135,295.3,43.5,17.45,14.5,47.0,4.1,21,available,Indian Ocean,3.3,32059.14
VSL_9000411,MV STEEL VOYAGER 3,9000411,419000291,Supramax,60777,197.0,32.5,12.03,14.7,24.3,2.9,2,available,East Coast India,1.7,15976.85
VSL_9000548,MV STEEL VOYAGER 4,9000548,419000388,Handysize,36460,166.5,28.2,9.62,13.5,18.2,2.3,21,on_voyage,East Coast India,4.6,14082.03
VSL_9000685,MV EASTERN PIONEER 5,9000685,419000485,Handysize,16487,161.1,26.8,9.78,13.1,19.2,2.4,7,available,Australia Coast,1.4,14325.83
VSL_9000822,MV OCEAN VOYAGER 6,9000822,419000582,Panamax,72557,215.1,34.0,14.81,14.9,32.7,3.2,9,available,East Coast India,3.0,16946.82
VSL_9000959,MV STEEL ENTERPRISE 7,9000959,419000679,Supramax,48478,198.2,33.3,13.77,14.0,22.2,3.1,17,available,Indian Ocean,4.1,15652.2
VSL_9001096,MV BHARAT PIONEER 8,9001096,419000776,Handysize,14020,160.8,28.0,9.63,13.5,19.5,2.4,10,available,Indian Ocean,5.2,13926.75
VSL_9001233,MV OCEAN ENTERPRISE 9,9001233,419000873,Panamax,75755,217.6,32.5,13.84,14.4,33.4,3.4,4,on_voyage,Bay of Bengal,2.4,19073.58
VSL_9001370,MV VISHAL FORTUNE 10,9001370,419000970,Panamax,94403,215.2,32.7,14.23,14.1,28.6,3.4,20,available,Bay of Bengal,3.4,16954.62
VSL_9001507,MV GLOBAL PIONEER 11,9001507,419001067,Supramax,46677,197.4,33.5,12.3,14.8,22.9,3.3,10,available,Bay of Bengal,2.4,14295.5
VSL_9001644,MV VISHAL NAVIGATOR 12,9001644,419001164,Supramax,63668,186.1,33.4,13.52,13.6,25.1,2.9,14,available,Bay of Bengal,1.9,16039.35
VSL_9001781,MV GLOBAL TRADER 13,9001781,419001261,Panamax,94324,223.1,31.6,14.82,15.0,30.1,3.2,20,available,Indian Ocean,3.0,17238.82
VSL_9001918,MV EASTERN PIONEER 14,9001918,419001358,Capesize,318580,286.4,46.1,19.03,14.6,48.3,4.3,3,on_voyage,Indian Ocean,2.1,26142.52
VSL_9002055,MV VISHAL CARRIER 15,9002055,419001455,Panamax,93938,236.4,32.3,15.18,15.1,33.7,3.7,15,available,Bay of Bengal,5.0,16604.61
VSL_9002192,MV GLOBAL CARRIER 16,9002192,419001552,Handysize,26363,177.3,28.1,9.45,13.8,17.1,2.4,16,available,Bay of Bengal,4.3,12533.05
VSL_9002329,MV GLOBAL FORTUNE 17,9002329,419001649,Panamax,74264,229.7,34.6,14.37,15.1,30.6,3.4,14,available,East Coast India,5.3,18217.52
VSL_9002466,MV OCEAN NAVIGATOR 18,9002466,419001746,Handysize,29072,164.4,29.3,10.91,14.2,17.5,2.3,20,in_maintenance,Indian Ocean,6.9,10907.55
VSL_9002603,MV STEEL FORTUNE 19,9002603,419001843,Supramax,45390,186.7,32.6,12.75,13.8,25.7,3.3,3,available,Singapore Strait,2.5,15017.39
VSL_9002740,MV EASTERN TRADER 20,9002740,419001940,Supramax,60518,183.4,33.5,13.11,13.7,23.6,2.9,14,available,East Coast India,5.8,16719.83
VSL_9002877,MV GLOBAL NAVIGATOR 21,9002877,419002037,Panamax,92260,237.3,32.1,14.15,13.9,31.5,3.2,11,available,Singapore Strait,6.2,18038.97
VSL_9003014,MV EASTERN NAVIGATOR 22,9003014,419002134,Handysize,19491,173.4,26.8,10.66,13.1,19.7,2.5,18,available,East Coast India,1.8,14260.76
VSL_9003151,MV EASTERN PIONEER 23,9003151,419002231,Panamax,67355,225.0,32.4,14.89,14.1,29.0,3.2,10,available,Singapore Strait,1.9,18038.92
